BRANCH,GROUP,MONTH,YEAR,CUSTOMER,Type,Item,INVOICE_DATE,Aging,Amount,,
NY259,Northeast,5,2018,Rochester Ltd,AR,UHY1004,5/31/2018,Current,961.92,,
KS196,Midwest,5,2018,Pacific Ltd,Payment,NMK1003,5/31/2018,Current,-590.94,,
MI213,Midwest,5,2018,"3LAB, Ltd",AR,UHY1004,5/31/2018,Current,994.28,,
CT107,Northeast,5,2018,"Fenwal, Corp",Payment,NMK1003,5/31/2018,Current,-860.21,,
CT111,Northeast,5,2018,Bare ,AR,NMK1003,5/31/2018,60+,346.26,,
OK285,South,5,2018,Ohio ,Payment,PUJ1005,5/31/2018,Current,-591.95,,
AZ6,West,5,2018,Linde ,AR,XYS1001,5/31/2018,Current,655.93,,
OH280,Midwest,5,2018,Ei ,AR,PUJ1005,5/31/2018,1-60,290.51,,
SC299,South,6,2018,Ei ,AR,PUJ1005,6/1/2018,Current,"1,668.10",,
NY261,Northeast,6,2018,Trigen ,AR,UHY1004,6/1/2018,Current,743.43,,
CA17,West,6,2018,Ohio ,AR,XYS1001,6/1/2018,Current,76.38,,
IL152,Midwest,6,2018,Ohio ,AR,NMK1003,6/1/2018,1-60,"3,515.62",,
TX317,South,6,2018,O.E. Ltd,AR,PUJ1005,6/1/2018,1-60,410.24,,
OR291,West,6,2018,Pure Group,AR,PUJ1005,6/1/2018,Current,38.19,,
FL138,South,6,2018,OHTA'S Corp,AR,NMK1003,6/1/2018,1-60,786.58,,
VA354,South,6,2018,Apollo Ltd,AR,MKL1006,6/1/2018,Current,411.51,,
TX320,South,6,2018,21st Ltd,AR,PUJ1005,6/1/2018,Current,334.67,,
CA21,West,6,2018,S.S.S. Group,AR,XYS1001,6/1/2018,Current,590.94,,
VA349,South,6,2018,Procter Corp,AR,MKL1006,6/1/2018,60+,"1,451.09",,
FL134,South,6,2018,E. Ltd,Payment,NMK1003,6/1/2018,Current,"-1,300.07",,
IN193,Midwest,6,2018,U.S. Ltd,Payment,NMK1003,6/1/2018,Current,-523.94,,
OH282,Midwest,6,2018,Linde ,AR,PUJ1005,6/2/2018,Current,337.14,,
CA20,West,6,2018,Select ,AR,XYS1001,6/2/2018,Current,915.35,,
MI218,Midwest,6,2018,Qualitest ,AR,UHY1004,6/2/2018,Current,"1,103.09",,
IL173,Midwest,6,2018,Rochester Ltd,AR,NMK1003,6/2/2018,1-60,136.68,,
CT110,Northeast,6,2018,U.S. Ltd,Payment,NMK1003,6/2/2018,60+,-78.39,,
NC229,South,6,2018,OHTA'S Corp,AR,UHY1004,6/2/2018,Current,478.11,,
ND238,Midwest,6,2018,OHTA'S Corp,AR,UHY1004,6/2/2018,Current,"1,319.97",,
CO97,West,6,2018,Capweld ,AR,NMK1003,6/2/2018,Current,"3,526.08",,
CT103,Northeast,6,2018,Procter Corp,AR,NMK1003,6/2/2018,Current,522.2,,
TN305,South,6,2018,"Apotheca, Ltd",AR,PUJ1005,6/3/2018,Current,"3,342.30",,
TN303,South,6,2018,Amylin Group,Payment,PUJ1005,6/3/2018,Current,"-1,548.50",,
MI217,Midwest,6,2018,U.S. Ltd,Payment,UHY1004,6/3/2018,60+,"-1,842.17",,
WA362,West,6,2018,Llorens Ltd,Payment,MKL1006,6/3/2018,60+,"-2,250.93",,
TX335,South,6,2018,WakeFern ,Payment,MKL1006,6/3/2018,1-60,-923.8,,
CA84,West,6,2018,Dharma Ltd,AR,NBV1002,6/3/2018,Current,"1,184.56",,
NV256,West,6,2018,U.S. Ltd,AR,UHY1004,6/3/2018,Current,141.1,,
WA360,West,6,2018,Capweld ,Payment,MKL1006,6/3/2018,60+,-299.49,,
CO90,West,6,2018,OUR Ltd,AR,NMK1003,6/3/2018,Current,"1,538.86",,
KS196,Midwest,6,2018,Mylan Corp,AR,NMK1003,6/3/2018,Current,645.41,,
CA40,West,6,2018,Mylan Corp,AR,XYS1001,6/3/2018,Current,817.8,,
WI367,Midwest,6,2018,Burt's Corp,AR,MKL1006,6/3/2018,1-60,"2,451.73",,
NM249,West,6,2018,Eminence Corp,AR,UHY1004,6/4/2018,Current,"1,005.40",,
AZ6,West,6,2018,Ohio ,AR,XYS1001,6/4/2018,1-60,"1,083.39",,
MD212,South,6,2018,Linde ,Payment,UHY1004,6/4/2018,Current,"-1,701.00",,
CA37,West,6,2018,"Elorac, Corp",AR,XYS1001,6/4/2018,60+,921.92,,
CA38,West,6,2018,Ole Group,Payment,XYS1001,6/4/2018,1-60,"-1,725.79",,
PA294,Northeast,6,2018,Bare ,Payment,PUJ1005,6/4/2018,Current,"-1,290.42",,
CT105,Northeast,6,2018,ETUDE Ltd,AR,NMK1003,6/5/2018,Current,"1,081.78",,
CA17,West,6,2018,Pacific Ltd,AR,XYS1001,6/5/2018,1-60,"2,182.86",,
CT109,Northeast,6,2018,Qualitest ,AR,NMK1003,6/5/2018,60+,455.6,,
GA141,South,6,2018,Prasco Group,Payment,NMK1003,6/5/2018,Current,-342.1,,
CT111,Northeast,6,2018,Medsep Group,Payment,NMK1003,6/5/2018,Current,-863.76,,
VA349,South,6,2018,Burt's Corp,AR,MKL1006,6/5/2018,Current,"1,568.54",,
WA360,West,6,2018,Ole Group,Payment,MKL1006,6/5/2018,1-60,-880.58,,
IA148,Midwest,6,2018,OHTA'S Corp,AR,NMK1003,6/6/2018,60+,355.9,,
CT103,Northeast,6,2018,Dharma Ltd,Payment,NMK1003,6/6/2018,Current,"-1,743.27",,
CA59,West,6,2018,Medsep Group,Payment,NBV1002,6/6/2018,Current,"-1,138.46",,
CA60,West,6,2018,Niconovum Corp,Payment,NBV1002,6/6/2018,Current,-171.52,,
ND238,Midwest,6,2018,Trigen ,AR,UHY1004,6/7/2018,Current,"1,012.10",,
IL151,Midwest,6,2018,Mylan Corp,AR,NMK1003,6/7/2018,Current,"2,086.38",,
IL152,Midwest,6,2018,Pacific Ltd,Payment,NMK1003,6/7/2018,Current,-934.65,,
NY262,Northeast,6,2018,"PEDIFIX, Corp",Payment,PUJ1005,6/7/2018,Current,-482.4,,
FL120,South,6,2018,Select ,AR,NMK1003,6/7/2018,Current,496.74,,
NC233,South,6,2018,E. Ltd,Payment,UHY1004,6/7/2018,1-60,-306.99,,
